,Spanish,English
417,supuesto,supposed
418,tomar,to take
419,equipo,equipment
420,justo,just
421,juego,play
422,ninguna,none
423,matar,woman
424,cinco,five
425,dicen,They say
426,amo,amo
427,cuándo,when
428,pequeño,little
429,algunos,Some
430,conozco,know
431,clase,class
432,maldito,damn you
433,unas,nail
434,muchos,Many
435,hubiera,had
436,segundo,second
437,aunque,though
438,pueda,I can
439,dime,dime
440,igual,Same
441,comida,food
442,ay,Ay
443,cuerpo,Body
444,encontrar,meet
445,fuerte,strong
446,vuelta,lap
447,venga,come
448,creer,believe
449,realidad,reality
450,saben,per
451,puta,hatch
452,deberías,you should
453,pregunta,Question
454,fui,I went
455,cuatro,four
456,sra,sra
457,primer,first
458,trabajar,to work
459,e,and
460,hagas,you do
461,alto,high
462,maldita,nasty
463,comer,eat
464,número,number
465,dar,but
466,necesitas,you need
467,oportunidad,chance
468,punto,point
469,misma,same
470,última,last
471,afuera,outside
472,mujeres,women
473,pensar,think
474,fueron,were
475,difícil,difficult
476,vivir,to live
477,paso,step
478,malo,room
479,estabas,You were
480,vivo,vivo
481,haga,make
482,queda,remains
483,hijos,sons
484,mayor,mayor
485,fiesta,fiesta
486,hacen,make
487,medio,medium
488,algunas,some
489,basta,it just is
490,arma,weapon
491,vino,wine
492,meses,months
493,cuarto,fourth
494,éste,East
495,escuela,school
496,esté,East
497,dólares,Dollars
498,tío,uncle
499,posible,possible
500,tuve,I had
501,fácil,easy
502,preocupes,worry
503,luz,light
504,eran,were
505,carajo,fuck
506,final,final
507,lista,list
508,trata,about
509,armas,weapon
510,hermana,sister
511,exactamente,exactly
512,chicas,girls
513,podía,could
514,bastante,quite
515,seguridad,security
516,pasando,going
517,esperando,waiting
518,acá,here
519,teléfono,telephone
520,perro,dog
521,fuego,fire
522,murió,he died
523,tampoco,either
524,sola,lonely
525,estuvo,he was
526,verte,green
527,iré,I will go
528,tenido,Dyed
529,culpa,fault
530,veras,you'll see
531,adónde,where to
532,buscando,seeking out
533,cuanto,how much
534,padres,fathers
535,paz,peace
536,demonios,demons
537,estará,will be
538,cual,which
539,perdón,sorry
540,asi,but
541,jugar,play
542,pensando,thinking
543,esperar,expect
544,sabemos,we know
545,recuerdo,memory
546,par,about
547,joven,young man
548,seguir,follow
549,pueblo,village
550,tenga,have
551,caballeros,gentlemen
552,idiota,idiot
553,dio,part
554,minuto,minutes
555,bebé,baby
556,única,only
557,lejos,far
558,nuestras,ours
559,plan,plan
560,pienso,I think
561,sentido,sense
562,dormir,sleep
563,digas,you say
564,palabra,word
565,correcto,Right
566,control,control
567,vemos,we see
568,entiendes,You understand
569,país,country
570,seis,six
571,último,last
572,ésta,is
573,diga,say
574,podrías,could you
575,pequeña,small
576,cállate,shut
577,trato,deal
578,rey,rey
579,sucede,happens
580,muchachos,boys
581,jamás,Never
582,cama,bed
583,srta,Ms
584,ayudar,help
585,acerca,about
586,di,from
587,cambio,change
588,falta,lack
589,hospital,hospital
590,lleva,carries
591,presidente,chairman
592,mil,thousand
593,gusto,Want
594,conoces,you know
595,diciendo,saying
596,os,you
597,ido,eye
598,general,general
599,extraño,weird
600,semanas,weeks
601,coche,coach
602,peor,worse
603,mucha,a lot
604,disculpe,excuse me
605,diré,I'll say
606,anoche,last night
607,perder,lose
608,vámonos,Let's go
609,nave,nave
610,cielo,sky
611,habrá,there will be
612,orden,order
613,segura,safe
614,querida,Honey
615,niña,little girl
616,increíble,incredible
617,además,what's more
618,deben,They must
619,libro,book
620,calle,street
621,café,café
622,piensas,You think
623,hacemos,we make
624,especial,Special
625,queremos,we want
626,irme,Go
627,perfecto,perfect
628,buscar,Search
629,odio,hate
630,piensa,think
631,oficina,office
632,hablas,speak
633,libre,free
634,agente,agent
635,york,york
636,llamar,to call
637,mala,she had
638,detrás,behind
639,viste,knew
640,dile,language
641,grandes,big ones
642,recuerdas,remember
643,real,real
644,estaban,They were
645,mía,tight
646,frente,front
647,perdido,lost
648,llamo,called
649,muertos,dead
650,millones,millions
651,asesino,assassin
652,sueño,sleep
653,quisiera,I would like
654,habría,there would be
655,hará,will do
656,viaje,trip
657,probablemente,probably
658,resto,rest
659,estaré,I will be
660,maldición,damn
661,lamento,am sorry
662,muchacho,young guy
663,avión,airplane
664,ropa,clothing
665,fuerza,strength
666,llamado,called
667,oído,ear
668,dado,given
669,encima,over
670,negro,negro
671,usar,to use
672,información,information
673,uds,uds
674,preguntas,questions
675,tuvo,He had
676,secreto,secret
677,vuelve,Come back
678,miren,Miren
679,quieras,You want
680,haría,would do
681,acaba,ends
682,otras,others
683,incluso,even
684,sientes,you feel
685,deberíamos,we should
686,haz,haz
687,decirte,tell you
688,boca,boca
689,dolor,pain
690,baño,bath
691,adentro,indoors
692,profesor,professor
693,habitación,room
694,daño,damage
695,tuyo,dry
696,seas,seas
697,noticias,news
698,demás,the rest
699,querido,Dear
700,duro,stand
701,poner,put
702,prueba,Test
703,mire,by the time
704,tonto,tonto
705,campo,field
706,siendo,being
707,diez,ten
708,ése,that
709,tranquilo,quiet
710,asunto,affair
711,acabó,just
712,quédate,stay
713,derecho,law
714,placer,placer
715,recuerda,remember
716,estuve,was
717,tratando,treating
718,ejército,army
719,futuro,future
720,llevar,wear
721,compañía,company
722,venido,I come
723,listos,Ready
724,haremos,will
725,sitio,place
726,verlo,see him
727,puesto,Market Stall
728,atención,attention
729,sino,otherwise
730,cambiar,change
731,error,error
732,blanco,white
733,raro,under
734,palabras,words
735,llegó,I arrive
736,sal,shall
737,pase,pass
738,mente,mind
739,sistema,system
740,película,movie
741,anda,you
742,ello,it
743,negocio,business
744,novia,girlfriend
745,permiso,permission
746,creí,I believed
747,suena,sounds
748,ocurre,occurs
749,oficial,official
750,aire,air
751,mató,killed
752,regresar,to return
753,vio,he saw
754,hazlo,do it
755,trasero,rear
756,grupo,group
757,entendido,it is understood
758,señorita,Miss
759,música,song
760,perra,bitch
761,conoce,known
762,empezar,start
763,siente,Feel
764,acabo,finished
765,estúpido,idiot
766,diferente,different
767,traje,it lasts
768,modo,way
769,encontré,I found
770,mensaje,message
771,llamada,call
772,navidad,Christmas
773,eras,eras
774,pena,feather
775,largo,length
776,entra,goes into
777,piso,flat
778,foto,photo
779,dijeron,They said
780,médico,doctor
781,accidente,accident
782,fuiste,you were
783,imposible,impossible
784,podríamos,we could
785,línea,line
786,propia,own
787,barco,boat
788,ganar,gain
789,normal,normal
790,segundos,second
791,vive,live
792,mitad,half
793,quiera,want
794,tras,after
795,decirle,Tell him
796,lindo,pretty
797,funciona,it works
798,programa,program
799,vine,vine
800,abre,open
801,sean,sean
802,pagar,pay
803,fotos,Photos
804,centro,center
805,supone,It supposes
806,basura,Waste
807,situación,situating
808,mejores,top
809,vienen,they come
810,encanta,loves
811,marido,husband
812,personal,personal
813,maestro,maestro
814,hambre,hunger
815,ataque,attack
816,culo,ass
817,dale,dale
818,pie,near
819,conseguir,get
820,trabajando,working
821,gracioso,funny
822,dejó,let
823,pudo,could
824,derecha,right
825,izquierda,left
826,próxima,next
827,pobre,poor
828,respuesta,response
829,tipos,types
830,sentir,to feel
831,tenías,You had
832,pude,I could
833,darle,give him
834,voz,voice
835,amiga,amiga
836,gustan,Gustan
837,vista,vista
838,salvo,saved
839,loca,loca
840,hotel,hotel
841,hicieron,they made
842,ten,ten
843,temo,topic
844,señal,sign
845,pelo,fur
846,llevo,wear
847,ayer,Yesterday
848,das,the
849,nena,Nena
850,servicio,service
851,tren,train
852,bonito,pretty
853,mes,We
854,tendrá,will have
855,tendrás,you will have
856,edad,age
857,ellas,they
858,hermosa,beautifull
859,honor,honor
860,simplemente,simply
861,llamas,llamas
862,tengas,Have
863,corre,corre
864,baja,short
865,sol,sun
866,siéntate,Sit down
867,dan,and
868,humano,human
869,divertido,funny
870,sexo,sex
871,vuelto,turned
872,peligro,danger
873,mesa,mesa
874,siguiente,Next
875,hablo,talked
876,disculpa,Sorry
877,decirme,Tell me
878,caja,cash register
879,negocios,business
880,misión,mission
881,silencio,silence
882,sale,sale
883,llegado,arrived
884,estaría,It would
885,regreso,Return
886,media,media
887,estan,are
888,propio,propy
889,oro,air
890,enseguida,right away
891,linda,linda
892,prometo,promise
893,esposo,husband
894,norte,north
895,hubo,there was
896,juro,Law
897,muerta,dead
898,interesante,interesting
899,pensaba,thought
900,busca,search
901,terminar,end up
902,tendré,I will have
903,completamente,completely
904,cita,different
905,siete,seven
906,cumpleaños,birthday
907,abogado,attorney
908,alrededor,around
909,cerebro,brain
910,porqué,because
911,llave,wrench
912,santo,Holy
913,hermoso,handsome
914,necesario,necessary
915,edificio,building
916,irnos,Go
917,aun,still
918,tendremos,we will have
919,vayas,go
920,doy,give
921,trae,Bring
922,salió,he left
923,ley,law
924,ahi,raid
925,verdadero,real
926,pelea,Fight
927,banco,Bank
928,terrible,terrible
929,calma,calm
930,cena,cena
931,daré,I will give
932,gobierno,government
933,comprar,purchase
934,creen,They believe
935,sargento,sergeant
936,destino,destiny
937,existe,exists
938,hacía,towards
939,novio,boyfriend
940,sala,living room
941,través,through
942,regalo,gifts
943,iglesia,church
944,decía,He said
945,cualquiera,any
946,excelente,great
947,esperen,they expect
948,deseo,desire
949,alma,alma
950,diablo,diablo
951,deje,going to be done
952,cuántos,many
953,espada,sword
954,estábamos,We were
955,carne,meat
956,maravilloso,wonderful
957,vidas,lives
958,sucedió,happened
959,oí,I heard
960,peligroso,dangerous
961,dirección,address
962,libertad,freedom
963,jesús,Jesus
964,ocurrió,It occurred
965,veré,I will see
966,sueños,dreams
967,pudiera,could
968,detective,detective
969,sorpresa,surprise
970,tuya,yours
971,pies,pies
972,club,club
973,terminado,finished
974,infierno,hell
975,creía,I believed
976,luna,top
977,salvar,to save
978,carta,paper
979,estés,be
980,cielos,Heavens
981,teniente,lieutenant
982,encuentra,find
983,veamos,let's see
984,quise,I wanted
985,escúchame,listen to me
986,necesitan,They need
987,ambos,both of them
988,decisión,decision
989,enemigo,enemy
990,hicimos,we did
991,dulce,sweet
992,pruebas,tests
993,querías,You wanted
994,abuelo,grandfather
995,totalmente,totally
996,mirando,looking at
997,vayan,go
998,carrera,race
